Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE,CV_Score_Mean,CV_Score_Std
OLS,19565.202062070257,33399.95197973052,0.9356182435640699,0.8608606020367128,12095.192414106725,14914.189813381243,0.17089836932735325,0.011981977409423345
Ridge,24997.887626996067,31279.046218594554,0.8949004712659699,0.8779703294852395,13769.558064334085,15939.345544399928,0.14248102250569322,0.011329365074816508
Random Forest,10592.030118664401,27785.69079825718,0.9811308403152359,0.9037056441957633,6121.296548877935,16190.440006286803,0.14503596715656436,0.008881554868947551
Lasso,27426.75833875383,32609.44225394676,0.8734846837075394,0.8673689595276182,14113.662364226462,15911.430085918279,0.13977462954204187,0.013263700774738778
